document,topic,gamma
text1,1,0.07783882783882784
text1,2,0.2573260073260073
text1,3,0.0521978021978022
text1,4,0.03388278388278388
text1,5,0.07051282051282051
text1,6,0.3525641025641026
text1,7,0.08516483516483517
text1,8,0.07051282051282051
text2,1,0.1399402390438247
text2,2,0.12201195219123506
text2,3,0.07420318725099602
text2,4,0.26145418326693226
text2,5,0.05826693227091633
text2,6,0.10209163346613546
text2,7,0.06822709163346613
text2,8,0.17380478087649404
text3,1,0.42353951890034364
text3,2,0.07989690721649484
text3,3,0.06958762886597938
text3,4,0.028350515463917526
text3,5,0.04896907216494845
text3,6,0.03178694158075601
text3,7,0.0661512027491409
text3,8,0.25171821305841924
text4,1,0.40075757575757576
text4,2,0.20075757575757575
text4,3,0.04621212121212121
text4,4,0.04924242424242424
text4,5,0.04015151515151515
text4,6,0.12803030303030302
text4,7,0.03409090909090909
text4,8,0.10075757575757575
text5,1,0.22767857142857142
text5,2,0.11798469387755102
text5,3,0.04400510204081633
text5,4,0.09502551020408163
text5,5,0.04145408163265306
text5,6,0.367984693877551
text5,7,0.03635204081632653
text5,8,0.06951530612244898
text6,1,0.04010416666666667
text6,2,0.1046875
text6,3,0.05677083333333333
text6,4,0.08802083333333334
text6,5,0.044270833333333336
text6,6,0.0921875
text6,7,0.11927083333333334
text6,8,0.4546875
text7,1,0.05946291560102302
text7,2,0.05946291560102302
text7,3,0.03900255754475703
text7,4,0.08759590792838874
text7,5,0.18478260869565216
text7,6,0.440537084398977
text7,7,0.03388746803069054
text7,8,0.09526854219948849
text8,1,0.10811781609195402
text8,2,0.2676005747126437
text8,3,0.053520114942528736
text8,4,0.08656609195402298
text8,5,0.027658045977011495
text8,6,0.13110632183908047
text8,7,0.08512931034482758
text8,8,0.24030172413793102
text9,1,0.051261829652996846
text9,2,0.26261829652996843
text9,3,0.022870662460567823
text9,4,0.051261829652996846
text9,5,0.15220820189274448
text9,6,0.15220820189274448
text9,7,0.17429022082018927
text9,8,0.1332807570977918
text10,1,0.06139240506329114
text10,2,0.5120253164556962
text10,3,0.043670886075949364
text10,4,0.04113924050632911
text10,5,0.03354430379746835
text10,6,0.1449367088607595
text10,7,0.07151898734177216
text10,8,0.09177215189873418
text11,1,0.08772935779816514
text11,2,0.09231651376146789
text11,3,0.034977064220183485
text11,4,0.07855504587155963
text11,5,0.19094036697247707
text11,6,0.18405963302752293
text11,7,0.05103211009174312
text11,8,0.28038990825688076
text12,1,0.10841313269493844
text12,2,0.2588919288645691
text12,3,0.035909712722298225
text12,4,0.09473324213406292
text12,5,0.030437756497948016
text12,6,0.1904924760601915
text12,7,0.05506155950752394
text12,8,0.22606019151846785
text13,1,0.06891891891891892
text13,2,0.052702702702702706
text13,3,0.11576576576576576
text13,4,0.04369369369369369
text13,5,0.1265765765765766
text13,6,0.46531531531531534
text13,7,0.03648648648648649
text13,8,0.09054054054054055
text14,1,0.1126425855513308
text14,2,0.16017110266159695
text14,3,0.09553231939163498
text14,4,0.0879277566539924
text14,5,0.02709125475285171
text14,6,0.10313688212927756
text14,7,0.06511406844106464
text14,8,0.34838403041825095
text15,1,0.049145299145299144
text15,2,0.054843304843304845
text15,3,0.07193732193732194
text15,4,0.023504273504273504
text15,5,0.09472934472934473
text15,6,0.6331908831908832
text15,7,0.026353276353276354
text15,8,0.046296296296296294
text16,1,0.11160714285714286
text16,2,0.09732142857142857
text16,3,0.10446428571428572
text16,4,0.14375
text16,5,0.07946428571428571
text16,6,0.20089285714285715
text16,7,0.17232142857142857
text16,8,0.09017857142857143
text17,1,0.18378995433789955
text17,2,0.15182648401826485
text17,3,0.07876712328767123
text17,4,0.10159817351598173
text17,5,0.09703196347031963
text17,6,0.20662100456621005
text17,7,0.06506849315068493
text17,8,0.11529680365296803
text18,1,0.061515748031496065
text18,2,0.09104330708661418
text18,3,0.0359251968503937
text18,4,0.041830708661417325
text18,5,0.05561023622047244
text18,6,0.531988188976378
text18,7,0.0812007874015748
text18,8,0.10088582677165354
text19,1,0.328862660944206
text19,2,0.0842274678111588
text19,3,0.03701716738197425
text19,4,0.04560085836909871
text19,5,0.06920600858369098
text19,6,0.12070815450643776
text19,7,0.08851931330472103
text19,8,0.22585836909871246
text20,1,0.07604166666666666
text20,2,0.4010416666666667
text20,3,0.03854166666666667
text20,4,0.071875
text20,5,0.11354166666666667
text20,6,0.146875
text20,7,0.05520833333333333
text20,8,0.096875
text21,1,0.07923832923832924
text21,2,0.07923832923832924
text21,3,0.032555282555282554
text21,4,0.378992628992629
text21,5,0.08415233415233415
text21,6,0.21437346437346438
text21,7,0.03501228501228501
text21,8,0.09643734643734644
text22,1,0.15763274336283187
text22,2,0.08462389380530974
text22,3,0.07356194690265487
text22,4,0.06913716814159292
text22,5,0.04922566371681416
text22,6,0.28595132743362833
text22,7,0.09347345132743363
text22,8,0.1863938053097345
text23,1,0.09615384615384616
text23,2,0.1451048951048951
text23,3,0.030885780885780884
text23,4,0.2523310023310023
text23,5,0.035547785547785545
text23,6,0.30128205128205127
text23,7,0.030885780885780884
text23,8,0.10780885780885781
text24,1,0.18798828125
text24,2,0.19970703125
text24,3,0.06884765625
text24,4,0.24853515625
text24,5,0.11181640625
text24,6,0.05908203125
text24,7,0.02978515625
text24,8,0.09423828125
text25,1,0.15095338983050846
text25,2,0.14671610169491525
text25,3,0.06197033898305085
text25,4,0.06620762711864407
text25,5,0.1721398305084746
text25,6,0.1361228813559322
text25,7,0.08103813559322035
text25,8,0.18485169491525424
text26,1,0.03662634408602151
text26,2,0.6911962365591398
text26,3,0.03528225806451613
text26,4,0.021841397849462367
text26,5,0.02049731182795699
text26,6,0.05141129032258065
text26,7,0.03931451612903226
text26,8,0.10383064516129033
text27,1,0.21453407510431155
text27,2,0.24930458970792768
text27,3,0.017037552155771907
text27,4,0.3174547983310153
text27,5,0.03929068150208623
text27,6,0.07127955493741307
