feature,chi2,p,n_target,n_reference,significant,fdr_p,fdr_significant,favors
environment,-19.925,8e-6,2,19,TRUE,8.874166666666666e-4,TRUE,Ireland
browser,19.847,8e-6,27,0,TRUE,8.874166666666666e-4,TRUE,USA
softbank,19.847,8e-6,27,0,TRUE,8.874166666666666e-4,TRUE,USA
generative,-19.73,9e-6,22,48,TRUE,9.880515463917526e-4,TRUE,Ireland
like,19.137,1.2e-5,136,49,TRUE,0.001290787878787879,TRUE,USA
management,-19.101,1.2e-5,9,30,TRUE,0.001290787878787879,TRUE,Ireland
pwc,-19.059,1.3e-5,0,14,TRUE,0.0013706633663366336,TRUE,Ireland
case,-19.028,1.3e-5,4,22,TRUE,0.0013706633663366336,TRUE,Ireland
meta,18.69,1.5e-5,41,5,TRUE,0.001566029411764706,TRUE,USA
diligence,-18.662,1.6e-5,1,16,TRUE,0.0015923738317757008,TRUE,Ireland
women,-18.662,1.6e-5,1,16,TRUE,0.0015923738317757008,TRUE,Ireland
roles,-18.626,1.6e-5,6,25,TRUE,0.0015923738317757008,TRUE,Ireland
strategic,-18.602,1.6e-5,2,18,TRUE,0.0015923738317757008,TRUE,Ireland
transformation,-18.602,1.6e-5,2,18,TRUE,0.0015923738317757008,TRUE,Ireland
efficiency,-18.514,1.7e-5,8,28,TRUE,0.0016762314814814815,TRUE,Ireland
page,18.376,1.8e-5,25,0,TRUE,0.0017585504587155963,TRUE,USA
opportunities,-18.164,2e-5,5,23,TRUE,0.0019361818181818184,TRUE,Ireland
mcgrath,-17.698,2.6e-5,0,13,TRUE,0.0024502123893805306,TRUE,Ireland
respondents,-17.698,2.6e-5,0,13,TRUE,0.0024502123893805306,TRUE,Ireland
teacher,-17.698,2.6e-5,0,13,TRUE,0.0024502123893805306,TRUE,Ireland
agency,17.64,2.7e-5,24,0,TRUE,0.0025221315789473683,TRUE,USA
strong,-17.284,3.2e-5,2,17,TRUE,0.0029631999999999996,TRUE,Ireland
innovation,-16.967,3.8e-5,27,51,TRUE,0.0034884655172413796,TRUE,Ireland
cash,16.905,3.9e-5,23,0,TRUE,0.0035496666666666667,TRUE,USA
cases,-16.78,4.2e-5,7,25,TRUE,0.0037271499999999994,TRUE,Ireland
patient,-16.78,4.2e-5,7,25,TRUE,0.0037271499999999994,TRUE,Ireland
report,-16.78,4.2e-5,7,25,TRUE,0.0037271499999999994,TRUE,Ireland
companies,16.674,4.4e-5,197,86,TRUE,0.0038723636363636365,TRUE,USA
regulatory,-16.638,4.5e-5,12,32,TRUE,0.003927909836065574,TRUE,Ireland
funding,16.62,4.6e-5,53,11,TRUE,0.003982552845528456,TRUE,USA
trust,-16.514,4.8e-5,4,20,TRUE,0.004122193548387097,TRUE,Ireland
data,-16.503,4.9e-5,157,179,TRUE,0.004174407999999999,TRUE,Ireland
blythman,-16.336,5.3e-5,0,12,TRUE,0.0044793412698412695,TRUE,Ireland
coreweave,16.17,5.8e-5,22,0,TRUE,0.00486332283464567,TRUE,USA
compliance,-15.971,6.4e-5,1,14,TRUE,0.00528322480620155,TRUE,Ireland
deployment,-15.97,6.4e-5,2,16,TRUE,0.00528322480620155,TRUE,Ireland
books,15.798,7e-5,25,1,TRUE,0.0057340769230769225,TRUE,USA
approach,-15.724,7.3e-5,9,27,TRUE,0.005889219696969697,TRUE,Ireland
analytics,-15.722,7.3e-5,5,21,TRUE,0.005889219696969697,TRUE,Ireland
zuckerberg,15.435,8.5e-5,21,0,TRUE,0.006805751879699248,TRUE,USA
due,-15.287,9.2e-5,10,28,TRUE,0.007311253731343284,TRUE,Ireland
capabilities,-15.05,1.05e-4,6,22,TRUE,0.008282555555555557,TRUE,Ireland
sam,14.94,1.11e-4,27,2,TRUE,0.008628021897810218,TRUE,USA
san,14.94,1.11e-4,27,2,TRUE,0.008628021897810218,TRUE,USA
already,-14.917,1.12e-4,30,52,TRUE,0.008642666666666667,TRUE,Ireland
article,14.699,1.26e-4,20,0,TRUE,0.009383034965034965,TRUE,USA
blue,14.699,1.26e-4,20,0,TRUE,0.009383034965034965,TRUE,USA
dollars,14.699,1.26e-4,20,0,TRUE,0.009383034965034965,TRUE,USA
federal,14.699,1.26e-4,20,0,TRUE,0.009383034965034965,TRUE,USA
liang,14.699,1.26e-4,20,0,TRUE,0.009383034965034965,TRUE,USA
explains,-14.629,1.31e-4,1,13,TRUE,0.009687631944444445,TRUE,Ireland
done,-14.518,1.39e-4,5,20,TRUE,0.010208351724137931,TRUE,Ireland
center,14.34,1.53e-4,23,1,TRUE,0.01108365306122449,TRUE,USA
nvidia,14.34,1.53e-4,23,1,TRUE,0.01108365306122449,TRUE,USA
it’s,-14.241,1.61e-4,13,31,TRUE,0.011584385135135137,TRUE,Ireland
china’s,13.964,1.86e-4,19,0,TRUE,0.013204760000000001,TRUE,USA
also,-13.963,1.86e-4,100,121,TRUE,0.013204760000000001,TRUE,Ireland
president,13.942,1.89e-4,34,5,TRUE,0.013328880794701988,TRUE,USA
clients,-13.883,1.95e-4,6,21,TRUE,0.01366154605263158,TRUE,Ireland
sector,-13.709,2.13e-4,15,33,TRUE,0.014825078431372549,TRUE,Ireland
political,-13.638,2.22e-4,3,16,TRUE,0.015252116129032258,TRUE,Ireland
solutions,-13.638,2.22e-4,3,16,TRUE,0.015252116129032258,TRUE,Ireland
ensure,-13.532,2.34e-4,12,29,TRUE,0.015973499999999998,TRUE,Ireland
founders,13.512,2.37e-4,25,2,TRUE,0.01607524203821656,TRUE,USA
aware,-13.36,2.57e-4,2,14,TRUE,0.017321474683544304,TRUE,Ireland
process,-13.34,2.6e-4,22,41,TRUE,0.017413459119496853,TRUE,Ireland
judge,-13.29,2.67e-4,1,12,TRUE,0.017770518750000002,TRUE,Ireland
role,-13.245,2.73e-4,13,30,TRUE,0.018031435582822084,TRUE,Ireland
data-center,13.229,2.76e-4,18,0,TRUE,0.018031435582822084,TRUE,USA
x,13.229,2.76e-4,18,0,TRUE,0.018031435582822084,TRUE,USA
investment,-13.044,3.04e-4,34,54,TRUE,0.019739609756097565,TRUE,Ireland
billions,12.885,3.31e-4,21,1,TRUE,0.021106700598802396,TRUE,USA
francisco,12.885,3.31e-4,21,1,TRUE,0.021106700598802396,TRUE,USA
trump,12.885,3.31e-4,21,1,TRUE,0.021106700598802396,TRUE,USA
ensuring,-12.819,3.43e-4,4,17,TRUE,0.02165494972067039,TRUE,Ireland
investor,12.8,3.47e-4,24,2,TRUE,0.02165494972067039,TRUE,USA
clinical,-12.731,3.6e-4,6,20,TRUE,0.02165494972067039,TRUE,Ireland
engagement,-12.706,3.64e-4,0,11,TRUE,0.02165494972067039,TRUE,Ireland
governance,-12.706,3.64e-4,0,11,TRUE,0.02165494972067039,TRUE,Ireland
hijazi,-12.706,3.64e-4,0,11,TRUE,0.02165494972067039,TRUE,Ireland
implementation,-12.706,3.64e-4,0,11,TRUE,0.02165494972067039,TRUE,Ireland
izquierdo,-12.706,3.64e-4,0,11,TRUE,0.02165494972067039,TRUE,Ireland
kelly,-12.706,3.64e-4,0,11,TRUE,0.02165494972067039,TRUE,Ireland
minister,-12.706,3.64e-4,0,11,TRUE,0.02165494972067039,TRUE,Ireland
outcomes,-12.706,3.64e-4,0,11,TRUE,0.02165494972067039,TRUE,Ireland
scannell,-12.706,3.64e-4,0,11,TRUE,0.02165494972067039,TRUE,Ireland
need,-12.644,3.77e-4,45,65,TRUE,0.02230373888888889,TRUE,Ireland
see,-12.537,3.99e-4,30,49,TRUE,0.02347486740331492,TRUE,Ireland
ive,12.494,4.08e-4,17,0,TRUE,0.02348536216216216,TRUE,USA
son,12.494,4.08e-4,17,0,TRUE,0.02348536216216216,TRUE,USA
sutskever,12.494,4.08e-4,17,0,TRUE,0.02348536216216216,TRUE,USA
wall,12.494,4.08e-4,17,0,TRUE,0.02348536216216216,TRUE,USA
enterprise,-12.384,4.33e-4,3,15,TRUE,0.024790413978494623,TRUE,Ireland
wrote,12.176,4.84e-4,26,3,TRUE,0.027562117647058824,TRUE,USA
within,-12.125,4.97e-4,10,25,TRUE,0.02815187765957447,TRUE,Ireland
paper,12.09,5.07e-4,23,2,TRUE,0.028566365079365077,TRUE,USA
cycle,-12.067,5.13e-4,2,13,TRUE,0.028601764397905762,TRUE,Ireland
framework,-12.067,5.13e-4,2,13,TRUE,0.028601764397905762,TRUE,Ireland
c.i.a,11.759,6.06e-4,16,0,TRUE,0.032924969387755104,TRUE,USA
california,11.759,6.06e-4,16,0,TRUE,0.032924969387755104,TRUE,USA
dia,11.759,6.06e-4,16,0,TRUE,0.032924969387755104,TRUE,USA
distillation,11.759,6.06e-4,16,0,TRUE,0.032924969387755104,TRUE,USA
gamma,11.759,6.06e-4,16,0,TRUE,0.032924969387755104,TRUE,USA
ago,11.688,6.29e-4,28,4,TRUE,0.03382939898989899,TRUE,USA
spending,11.688,6.29e-4,28,4,TRUE,0.03382939898989899,TRUE,USA
insights,-11.613,6.55e-4,4,16,TRUE,0.03505072864321608,TRUE,Ireland
lack,-11.596,6.61e-4,6,19,TRUE,0.035194945,TRUE,Ireland
productivity,-11.546,6.79e-4,12,27,TRUE,0.03597348756218906,TRUE,Ireland
capital,11.436,7.2e-4,55,16,TRUE,0.037636906862745095,TRUE,USA
boom,11.434,7.21e-4,19,1,TRUE,0.037636906862745095,TRUE,USA
giant,11.434,7.21e-4,19,1,TRUE,0.037636906862745095,TRUE,USA
started,11.382,7.42e-4,22,2,TRUE,0.038357077669902914,TRUE,USA
web,11.382,7.42e-4,22,2,TRUE,0.038357077669902914,TRUE,USA
codd,-11.354,7.53e-4,0,10,TRUE,0.03855142788461539,TRUE,Ireland
mccann,-11.354,7.53e-4,0,10,TRUE,0.03855142788461539,TRUE,Ireland
hub,-11.143,8.43e-4,3,14,TRUE,0.04274812857142857,TRUE,Ireland
hype,-11.143,8.43e-4,3,14,TRUE,0.04274812857142857,TRUE,Ireland
terms,-11.132,8.49e-4,7,20,TRUE,0.042848345971563985,TRUE,Ireland
year,11.069,8.78e-4,113,47,TRUE,0.04410293396226415,TRUE,USA
began,11.024,9e-4,15,0,TRUE,0.04413793665158371,TRUE,USA
meeting,11.024,9e-4,15,0,TRUE,0.04413793665158371,TRUE,USA
offering,11.024,9e-4,15,0,TRUE,0.04413793665158371,TRUE,USA
pentagon,11.024,9e-4,15,0,TRUE,0.04413793665158371,TRUE,USA
sued,11.024,9e-4,15,0,TRUE,0.04413793665158371,TRUE,USA
made,11.005,9.09e-4,50,14,TRUE,0.04413793665158371,TRUE,USA
allows,-10.991,9.16e-4,5,17,TRUE,0.04413793665158371,TRUE,Ireland
