topic,term,beta
1,ai,0.03092055722891566
1,can,0.023233559236947806
1,says,0.014919051204819284
1,said,0.014291541164658639
1,tools,0.011467745983935743
1,use,0.010526480923694776
1,using,0.010212725903614456
1,better,0.009114583333333332
1,used,0.008957705823293178
1,help,0.00880082831325301
2,ai,0.06871117226865248
2,says,0.01984135014266345
2,data,0.013770564785397734
2,can,0.011443430398445894
2,business,0.010633992350810452
2,technology,0.010431632838901594
2,irish,0.00769977942813202
2,per,0.007598599672177587
2,potential,0.007497419916223158
2,organisations,0.00699152113645102
3,openai,0.025658328834503034
3,google,0.013661448023513888
3,one,0.013511487013376521
3,altman,0.01321156499310179
3,microsoft,0.011861915901865512
3,people,0.011561993881590784
3,two,0.007063163577469864
3,researchers,0.006913202567332495
3,world,0.006763241557195133
3,meta,0.006763241557195133
3,musk,0.006763241557195133
4,data,0.031200371848007148
4,power,0.02558391757369175
4,new,0.01202695898051672
4,year,0.011252275632335286
4,energy,0.01067126312119922
4,time,0.00931556726188171
4,students,0.00931556726188171
4,education,0.00892822558779099
4,also,0.00834721307665492
4,just,0.00834721307665492
5,a.i,0.047170653338093574
5,said,0.037055218374390096
5,mr,0.031402475306438186
5,new,0.017865643222658573
5,models,0.012510412947756757
5,like,0.012064143758181604
5,companies,0.01013031060335595
5,york,0.01013031060335595
5,times,0.00953528501725574
5,tech,0.009089015827680593
6,ai,0.02537557781201849
6,ireland,0.01767141756548535
6,companies,0.0114117873651772
6,europe,0.010769774011299436
6,european,0.01028826399589111
6,tech,0.009164740626605042
6,act,0.009004237288135595
6,eu,0.008683230611196715
6,also,0.0077202105803800755
6,firms,0.007559707241910629
7,said,0.026118934658734345
7,company,0.018086201270175965
7,billion,0.016203529382232598
7,companies,0.01494841479027035
7,ai,0.012940231443130761
7,deepseek,0.01068102517759871
7,investors,0.00992795642242137
7,million,0.008798353289655345
7,year,0.008672841830459122
7,last,0.008296307452870444
8,technology,0.017219965327192274
8,intelligence,0.01566745154863249
8,years,0.011527414805806399
8,people,0.010751157916526507
8,first,0.009069267989753412
8,work,0.009069267989753412
8,like,0.008681139545113466
8,one,0.008551763396900152
8,around,0.00842238724868683
8,big,0.008163634952260199
