document,topic,gamma
text1,1,0.4432234432234432
text1,2,0.07692307692307693
text1,3,0.08791208791208792
text1,4,0.31135531135531136
text1,5,0.08058608058608059
text2,1,0.1892430278884462
text2,2,0.22310756972111553
text2,3,0.3605577689243028
text2,4,0.12749003984063745
text2,5,0.099601593625498
text3,1,0.15120274914089346
text3,2,0.45017182130584193
text3,3,0.17869415807560138
text3,4,0.10652920962199312
text3,5,0.1134020618556701
text4,1,0.3303030303030303
text4,2,0.36666666666666664
text4,3,0.09696969696969697
text4,4,0.12424242424242424
text4,5,0.08181818181818182
text5,1,0.2857142857142857
text5,2,0.32653061224489793
text5,3,0.10714285714285714
text5,4,0.21173469387755103
text5,5,0.06887755102040816
text6,1,0.14166666666666666
text6,2,0.14583333333333334
text6,3,0.3958333333333333
text6,4,0.1375
text6,5,0.17916666666666667
text7,1,0.16112531969309463
text7,2,0.12020460358056266
text7,3,0.11508951406649616
text7,4,0.5242966751918159
text7,5,0.0792838874680307
text8,1,0.34770114942528735
text8,2,0.16235632183908047
text8,3,0.31896551724137934
text8,4,0.08477011494252873
text8,5,0.08620689655172414
text9,1,0.35962145110410093
text9,2,0.07886435331230283
text9,3,0.2082018927444795
text9,4,0.17034700315457413
text9,5,0.1829652996845426
text10,1,0.6227848101265823
text10,2,0.10126582278481013
text10,3,0.11645569620253164
text10,4,0.07341772151898734
text10,5,0.08607594936708861
text11,1,0.11926605504587157
text11,2,0.19954128440366972
text11,3,0.29128440366972475
text11,4,0.33256880733944955
text11,5,0.05733944954128441
text12,1,0.3693570451436389
text12,2,0.19288645690834474
text12,3,0.22298221614227087
text12,4,0.1381668946648427
text12,5,0.07660738714090287
text13,1,0.12432432432432433
text13,2,0.15315315315315314
text13,3,0.1009009009009009
text13,4,0.5603603603603604
text13,5,0.06126126126126126
text14,1,0.2623574144486692
text14,2,0.13307984790874525
text14,3,0.41825095057034223
text14,4,0.11596958174904944
text14,5,0.07034220532319392
text15,1,0.23076923076923078
text15,2,0.05698005698005698
text15,3,0.10541310541310542
text15,4,0.4700854700854701
text15,5,0.13675213675213677
text16,1,0.23214285714285715
text16,2,0.10714285714285714
text16,3,0.175
text16,4,0.16071428571428573
text16,5,0.325
text17,1,0.2328767123287671
text17,2,0.1917808219178082
text17,3,0.1689497716894977
text17,4,0.3059360730593607
text17,5,0.1004566210045662
text18,1,0.2637795275590551
text18,2,0.05905511811023622
text18,3,0.1594488188976378
text18,4,0.3858267716535433
text18,5,0.13188976377952755
text19,1,0.13733905579399142
text19,2,0.43991416309012876
text19,3,0.18454935622317598
text19,4,0.13304721030042918
text19,5,0.10515021459227468
text20,1,0.42916666666666664
text20,2,0.15
text20,3,0.18333333333333332
text20,4,0.12916666666666668
text20,5,0.10833333333333334
text21,1,0.1891891891891892
text21,2,0.11793611793611794
text21,3,0.4103194103194103
text21,4,0.24078624078624078
text21,5,0.04176904176904177
text22,1,0.21238938053097345
text22,2,0.4314159292035398
text22,3,0.13053097345132744
text22,4,0.1261061946902655
text22,5,0.09955752212389381
text23,1,0.317016317016317
text23,2,0.34032634032634035
text23,3,0.11421911421911422
text23,4,0.18414918414918416
text23,5,0.04428904428904429
text24,1,0.220703125
text24,2,0.501953125
text24,3,0.1171875
text24,4,0.099609375
text24,5,0.060546875
text25,1,0.1906779661016949
text25,2,0.2860169491525424
text25,3,0.1440677966101695
text25,4,0.2605932203389831
text25,5,0.11864406779661017
text26,1,0.7258064516129032
text26,2,0.07123655913978495
text26,3,0.13172043010752688
text26,4,0.03225806451612903
text26,5,0.038978494623655914
text27,1,0.3004172461752434
text27,2,0.5271210013908206
text27,3,0.0737134909596662
text27,4,0.06536856745479833
text27,5,0.03337969401947149
text28,1,0.33568075117370894
text28,2,0.3967136150234742
text28,3,0.09624413145539906
text28,4,0.107981220657277
text28,5,0.06338028169014084
text29,1,0.55
text29,2,0.09807692307692308
text29,3,0.07692307692307693
text29,4,0.23846153846153847
text29,5,0.03653846153846154
text30,1,0.3867595818815331
text30,2,0.1602787456445993
text30,3,0.0975609756097561
text30,4,0.27526132404181186
text30,5,0.08013937282229965
text31,1,0.26356589147286824
text31,2,0.13953488372093023
text31,3,0.25
text31,4,0.28488372093023256
text31,5,0.06201550387596899
text32,1,0.15008726003490402
text32,2,0.6195462478184991
text32,3,0.04712041884816754
text32,4,0.11343804537521815
text32,5,0.06980802792321117
text33,1,0.5931428571428572
text33,2,0.16914285714285715
text33,3,0.10971428571428571
text33,4,0.09828571428571428
text33,5,0.029714285714285714
text34,1,0.5714285714285714
text34,2,0.13066202090592335
text34,3,0.15853658536585366
text34,4,0.09233449477351917
text34,5,0.047038327526132406
text35,1,0.6440677966101694
text35,2,0.1716101694915254
text35,3,0.06991525423728813
text35,4,0.06991525423728813
text35,5,0.04449152542372881
text36,1,0.6792079207920793
text36,2,0.09900990099009901
text36,3,0.06336633663366337
text36,4,0.1188118811881188
text36,5,0.039603960396039604
text37,1,0.7460191082802548
text37,2,0.07563694267515923
text37,3,0.0517515923566879
text37,4,0.08280254777070063
text37,5,0.04378980891719745
text38,1,0.662771285475793
text38,2,0.11018363939899833
text38,3,0.09515859766277128
text38,4,0.07011686143572621
text38,5,0.06176961602671119
text39,1,0.16917293233082706
text39,2,0.13157894736842105
text39,3,0.08270676691729323
text39,4,0.5357142857142857
text39,5,0.08082706766917293
text40,1,0.6141592920353982
text40,2,0.22300884955752212
text40,3,0.05663716814159292
text40,4,0.06548672566371681
text40,5,0.04070796460176991
text41,1,0.6731707317073171
text41,2,0.1040650406504065
text41,3,0.12845528455284552
text41,4,0.04552845528455285
text41,5,0.04878048780487805
text42,1,0.7676950998185118
text42,2,0.06170598911070781
text42,3,0.050816696914700546
text42,4,0.06352087114337568
text42,5,0.056261343012704176
text43,1,0.5746527777777778
text43,2,0.12152777777777778
text43,3,0.1076388888888889
text43,4,0.14930555555555555
text43,5,0.046875
text44,1,0.6414473684210527
text44,2,0.0756578947368421
text44,3,0.11348684210526316
text44,4,0.11842105263157894
text44,5,0.05098684210526316
text45,1,0.5522935779816514
text45,2,0.22752293577981653
text45,3,0.07522935779816514
text45,4,0.07889908256880734
text45,5,0.06605504587155964
text46,1,0.49324324324324326
text46,2,0.15315315315315314
text46,3,0.1891891891891892
text46,4,0.1036036036036036
text46,5,0.060810810810810814
text47,1,0.5945454545454546
text47,2,0.056363636363636366
text47,3,0.14181818181818182
text47,4,0.16
text47,5,0.04727272727272727
text48,1,0.18676470588235294
text48,2,0.5955882352941176
text48,3,0.08088235294117647
text48,4,0.10588235294117647
text48,5,0.030882352941176472
text49,1,0.2655367231638418
text49,2,0.1906779661016949
text49,3,0.1906779661016949
text49,4,0.25
text49,5,0.10310734463276836
text50,1,0.0608187134502924
text50,2,0.15789473684210525
text50,3,0.11345029239766082
text50,4,0.11345029239766082
text50,5,0.5543859649122806
text51,1,0.06398809523809523
text51,2,0.08779761904761904
text51,3,0.14136904761904762
text51,4,0.12053571428571429
text51,5,0.5863095238095238
text52,1,0.078125
text52,2,0.11328125
text52,3,0.130859375
text52,4,0.18359375
text52,5,0.494140625
text53,1,0.08303886925795052
text53,2,0.08303886925795052
text53,3,0.1254416961130742
text53,4,0.5600706713780919
text53,5,0.14840989399293286
text54,1,0.08527131782945736
text54,2,0.16744186046511628
text54,3,0.11162790697674418
text54,4,0.3457364341085271
text54,5,0.289922480620155
text55,1,0.0405616224648986
text55,2,0.1731669266770671
text55,3,0.15132605304212168
text55,4,0.22308892355694226
text55,5,0.4118564742589704
text56,1,0.0715909090909091
text56,2,0.09545454545454546
text56,3,0.053409090909090906
text56,4,0.031818181818181815
text56,5,0.7477272727272727
text57,1,0.047872340425531915
text57,2,0.09787234042553192
text57,3,0.05
text57,4,0.019148936170212766
text57,5,0.7851063829787234
text58,1,0.03292181069958848
text58,2,0.4691358024691358
text58,3,0.097393689986282575
text58,4,0.09053497942386832
text58,5,0.3100137174211248
text59,1,0.11044176706827309
text59,2,0.22088353413654618
text59,3,0.2289156626506024
text59,4,0.19477911646586346
text59,5,0.24497991967871485
text60,1,0.06557377049180328
text60,2,0.053864168618266976
text60,3,0.20608899297423888
text60,4,0.09836065573770492
text60,5,0.5761124121779859
text61,1,0.11141678129298486
text61,2,0.16643741403026135
text61,3,0.1265474552957359
text61,4,0.15130674002751032
text61,5,0.4442916093535076
text62,1,0.043645699614890884
text62,2,0.04236200256739409
text62,3,0.22849807445442877
text62,4,0.04749679075738126
text62,5,0.637997432605905
text63,1,0.05222734254992319
text63,2,0.0967741935483871
text63,3,0.2227342549923195
text63,4,0.059907834101382486
text63,5,0.5683563748079877
text64,1,0.06382978723404255
text64,2,0.03900709219858156
text64,3,0.1099290780141844
text64,4,0.09574468085106383
text64,5,0.6914893617021277
text65,1,0.05092592592592592
text65,2,0.0798611111111111
text65,3,0.09606481481481481
text65,4,0.4305555555555556
text65,5,0.3425925925925926
text66,1,0.08888888888888889
text66,2,0.2222222222222222
text66,3,0.15407407407407409
text66,4,0.12
text66,5,0.4148148148148148
text67,1,0.0752
text67,2,0.1856
text67,3,0.2304
text67,4,0.4112
text67,5,0.0976
text68,1,0.08298755186721991
text68,2,0.08852005532503458
text68,3,0.056708160442600276
text68,4,0.34716459197787
text68,5,0.42461964038727523
text69,1,0.1330998248686515
text69,2,0.08581436077057793
text69,3,0.19964973730297722
text69,4,0.11208406304728546
text69,5,0.46935201401050786
text70,1,0.09781021897810219
text70,2,0.06423357664233577
text70,3,0.19708029197080293
text70,4,0.24963503649635035
text70,5,0.39124087591240875
text71,1,0.04092071611253197
text71,2,0.12276214833759591
text71,3,0.20843989769820973
text71,4,0.2647058823529412
text71,5,0.3631713554987212
text72,1,0.09340659340659341
text72,2,0.07875457875457875
text72,3,0.09706959706959707
text72,4,0.16483516483516483
text72,5,0.5659340659340659
text73,1,0.16498316498316498
text73,2,0.5016835016835017
text73,3,0.12289562289562289
text73,4,0.06060606060606061
text73,5,0.14983164983164984
text74,1,0.11290322580645161
text74,2,0.05734767025089606
text74,3,0.6218637992831542
text74,4,0.08960573476702509
text74,5,0.11827956989247312
text75,1,0.07465007776049767
text75,2,0.06842923794712286
text75,3,0.15085536547433903
text75,4,0.11353032659409021
text75,5,0.5925349922239502
text76,1,0.0660377358490566
text76,2,0.1792452830188679
text76,3,0.13018867924528302
text76,4,0.14339622641509434
text76,5,0.4811320754716981
text77,1,0.152317880794702
text77,2,0.34966887417218545
text77,3,0.16688741721854305
text77,4,0.2781456953642384
text77,5,0.052980132450331126
text78,1,0.06666666666666667
text78,2,0.08743169398907104
text78,3,0.6054644808743169
text78,4,0.16065573770491803
text78,5,0.07978142076502732
text79,1,0.12072434607645875
text79,2,0.30181086519114686
text79,3,0.30985915492957744
text79,4,0.15090543259557343
text79,5,0.11670020120724346
text80,1,0.06613226452905811
text80,2,0.06813627254509018
text80,3,0.6312625250501002
text80,4,0.08617234468937876
text80,5,0.14829659318637275
text81,1,0.18449197860962566
text81,2,0.16844919786096257
text81,3,0.20320855614973263
text81,4,0.36363636363636365
text81,5,0.08021390374331551
text82,1,0.14006514657980457
text82,2,0.18241042345276873
text82,3,0.0749185667752443
text82,4,0.39087947882736157
text82,5,0.21172638436482086
text83,1,0.1693548387096774
text83,2,0.06854838709677419
text83,3,0.2620967741935484
text83,4,0.0967741935483871
text83,5,0.4032258064516129
text84,1,0.08992805755395683
text84,2,0.19784172661870503
text84,3,0.26258992805755393
text84,4,0.26618705035971224
text84,5,0.18345323741007194
text85,1,0.07539682539682539
text85,2,0.16666666666666666
text85,3,0.21296296296296297
text85,4,0.42724867724867727
text85,5,0.11772486772486772
text86,1,0.30033003300330036
text86,2,0.1716171617161716
text86,3,0.132013201320132
text86,4,0.3333333333333333
text86,5,0.0627062706270627
text87,1,0.10101010101010101
text87,2,0.2909090909090909
text87,3,0.12727272727272726
text87,4,0.07272727272727272
text87,5,0.4080808080808081
text88,1,0.11423550087873462
text88,2,0.05799648506151142
text88,3,0.22934973637961337
text88,4,0.3260105448154657
text88,5,0.27240773286467485
text89,1,0.08550185873605948
text89,2,0.1412639405204461
text89,3,0.13011152416356878
text89,4,0.09293680297397769
text89,5,0.550185873605948
text90,1,0.09027777777777778
text90,2,0.05555555555555555
text90,3,0.6550925925925926
text90,4,0.08101851851851852
text90,5,0.11805555555555555
text91,1,0.0823045267489712
text91,2,0.08641975308641975
text91,3,0.6090534979423868
text91,4,0.11934156378600823
text91,5,0.102880658436214
text92,1,0.043348281016442454
text92,2,0.5440956651718983
text92,3,0.2406576980568012
text92,4,0.09566517189835576
text92,5,0.07623318385650224
text93,1,0.12653061224489795
text93,2,0.4142857142857143
text93,3,0.23265306122448978
text93,4,0.11224489795918367
text93,5,0.11428571428571428
text94,1,0.20535714285714285
text94,2,0.4303571428571429
text94,3,0.15714285714285714
text94,4,0.15714285714285714
text94,5,0.05
text95,1,0.3348314606741573
text95,2,0.09887640449438202
text95,3,0.07415730337078652
text95,4,0.40898876404494383
text95,5,0.08314606741573034
text96,1,0.07476635514018691
text96,2,0.2
text96,3,0.44205607476635517
text96,4,0.11121495327102804
text96,5,0.17196261682242991
text97,1,0.15009746588693956
text97,2,0.2046783625730994
text97,3,0.08576998050682261
text97,4,0.4249512670565302
text97,5,0.13450292397660818
text98,1,0.05514316012725345
text98,2,0.1823966065747614
text98,3,0.12301166489925769
text98,4,0.10816542948038176
text98,5,0.5312831389183457
text99,1,0.10912698412698413
text99,2,0.5595238095238095
text99,3,0.09523809523809523
text99,4,0.08333333333333333
text99,5,0.1527777777777778
text100,1,0.06013745704467354
text100,2,0.058419243986254296
text100,3,0.10481099656357389
text100,4,0.06529209621993128
text100,5,0.711340206185567
text101,1,0.11574074074074074
text101,2,0.1388888888888889
text101,3,0.09259259259259259
text101,4,0.22685185185185186
text101,5,0.42592592592592593
text102,1,0.07523510971786834
text102,2,0.047021943573667714
text102,3,0.18181818181818182
text102,4,0.06583072100313479
text102,5,0.6300940438871473
text103,1,0.141804788213628
text103,2,0.09208103130755065
text103,3,0.11049723756906077
text103,4,0.086556169429097607
text103,5,0.569060773480663
