document,topic,gamma
text10,5,0.02531645569620253
text10,6,0.02278481012658228
text10,7,0.17974683544303796
text10,8,0.05569620253164557
text10,9,0.0379746835443038
text10,10,0.07848101265822785
text11,1,0.05733944954128441
text11,2,0.07568807339449542
text11,3,0.09174311926605505
text11,4,0.027522935779816515
text11,5,0.034403669724770644
text11,6,0.27293577981651373
text11,7,0.18577981651376146
text11,8,0.14220183486238533
text11,9,0.0871559633027523
text11,10,0.02522935779816514
text12,1,0.06292749658002736
text12,2,0.22024623803009577
text12,3,0.2448700410396717
text12,4,0.019151846785225718
text12,5,0.07387140902872777
text12,6,0.04377564979480164
text12,7,0.13953488372093023
text12,8,0.09028727770177838
text12,9,0.028727770177838577
text12,10,0.07660738714090287
text13,1,0.036036036036036036
text13,2,0.05405405405405406
text13,3,0.07927927927927927
text13,4,0.023423423423423424
text13,5,0.08288288288288288
text13,6,0.04504504504504504
text13,7,0.1045045045045045
text13,8,0.5207207207207207
text13,9,0.01981981981981982
text13,10,0.03423423423423423
text14,1,0.060836501901140684
text14,2,0.13688212927756654
text14,3,0.3840304182509506
text14,4,0.03612167300380228
text14,5,0.034220532319391636
text14,6,0.06463878326996197
text14,7,0.10266159695817491
text14,8,0.07604562737642585
text14,9,0.049429657794676805
text14,10,0.055133079847908745
text15,1,0.045584045584045586
text15,2,0.03133903133903134
text15,3,0.05413105413105413
text15,4,0.039886039886039885
text15,5,0.04843304843304843
text15,6,0.037037037037037035
text15,7,0.5811965811965812
text15,8,0.042735042735042736
text15,9,0.08831908831908832
text15,10,0.03133903133903134
text16,1,0.04285714285714286
text16,2,0.09642857142857143
text16,3,0.09642857142857143
text16,4,0.1392857142857143
text16,5,0.05357142857142857
text16,6,0.08571428571428572
text16,7,0.16785714285714284
text16,8,0.039285714285714285
text16,9,0.04642857142857143
text16,10,0.23214285714285715
text17,1,0.0365296803652968
text17,2,0.1415525114155251
text17,3,0.0867579908675799
text17,4,0.0410958904109589
text17,5,0.0776255707762557
text17,6,0.0502283105022831
text17,7,0.1643835616438356
text17,8,0.2511415525114155
text17,9,0.0776255707762557
text17,10,0.0730593607305936
text18,1,0.047244094488188976
text18,2,0.03937007874015748
text18,3,0.13385826771653545
text18,4,0.01968503937007874
text18,5,0.03937007874015748
text18,6,0.03937007874015748
text18,7,0.5374015748031497
text18,8,0.023622047244094488
text18,9,0.06299212598425197
text18,10,0.05708661417322835
text19,1,0.2854077253218884
text19,2,0.07296137339055794
text19,3,0.2296137339055794
text19,4,0.027896995708154508
text19,5,0.055793991416309016
text19,6,0.030042918454935622
text19,7,0.11802575107296137
text19,8,0.0407725321888412
text19,9,0.02575107296137339
text19,10,0.11373390557939914
text20,1,0.05416666666666667
text20,2,0.35833333333333334
text20,3,0.09166666666666666
text20,4,0.03333333333333333
text20,5,0.0625
text20,6,0.07916666666666666
text20,7,0.07083333333333333
text20,8,0.125
text20,9,0.07916666666666666
text20,10,0.04583333333333333
text21,1,0.04176904176904177
text21,2,0.03931203931203931
text21,3,0.07616707616707617
text21,4,0.029484029484029485
text21,5,0.04176904176904177
text21,6,0.4004914004914005
text21,7,0.2285012285012285
text21,8,0.08108108108108109
text21,9,0.0343980343980344
text21,10,0.02702702702702703
text22,1,0.1747787610619469
text22,2,0.05309734513274336
text22,3,0.13716814159292035
text22,4,0.048672566371681415
text22,5,0.05309734513274336
text22,6,0.03761061946902655
text22,7,0.2721238938053097
text22,8,0.07300884955752213
text22,9,0.03761061946902655
text22,10,0.11283185840707964
text23,1,0.05827505827505827
text23,2,0.10256410256410256
text23,3,0.046620046620046623
text23,4,0.02097902097902098
text23,5,0.2703962703962704
text23,6,0.04895104895104895
text23,7,0.30536130536130535
text23,8,0.08158508158508158
text23,9,0.037296037296037296
text23,10,0.027972027972027972
text24,1,0.162109375
text24,2,0.142578125
text24,3,0.037109375
text24,4,0.03125
text24,5,0.357421875
text24,6,0.08984375
text24,7,0.068359375
text24,8,0.029296875
text24,9,0.05078125
text24,10,0.03125
text25,1,0.06779661016949153
text25,2,0.13559322033898305
text25,3,0.1038135593220339
text25,4,0.029661016949152543
text25,5,0.2055084745762712
text25,6,0.036016949152542374
text25,7,0.0614406779661017
text25,8,0.2478813559322034
text25,9,0.038135593220338986
text25,10,0.07415254237288135
text26,1,0.03494623655913978
text26,2,0.6706989247311828
text26,3,0.12231182795698925
text26,4,0.016129032258064516
text26,5,0.012096774193548387
text26,6,0.010752688172043012
text26,7,0.056451612903225805
