topic,Ireland,USA
1,0.10051480716245513,0.0751832209041202
2,0.25871626927481856,0.049286670926462876
3,0.10844202495347526,0.10334043188767122
4,0.029428299232807976,0.1742931366658267
5,0.07937324814600713,0.09101850224481209
6,0.06471721565921872,0.09905349504612641
7,0.16992726720118204,0.048114685937425815
8,0.09586484650051112,0.08517360313269415
9,0.03935575295847025,0.13788883895436468
10,0.05366026891105386,0.13664741430049585
